Organizations,OrgName,OrgType,OrgCounty,OrgState
,Achievement,Public,Shelby,TN
,Alamo City,Public,Crockett,TN
,Alcoa City,Public,Blount,TN
,Alvin C York,Public,Fentress,TN
,Anderson,Public,Anderson,TN
,Arlington Community,Public,Shelby,TN
,Athens City,Public,McMinn,TN
,Bartlett Municipal,Public,Shelby,TN
,Bedford,Public,Bedford,TN
,Bells City,Public,Crockett,TN
,Benton,Public,Benton,TN
,Bledsoe,Public,Bledsoe,TN
,Blount,Public,Blount,TN
,Bradford Special,Public,Gibson,TN
,Bradley,Public,Bradley,TN
,Bristol City,Public,Sullivan,TN
,Campbell,Public,Campbell,TN
,Cannon,Public,Cannon,TN
,Carter,Public,Carter,TN
,Carroll,Public,Carroll,TN
,Cheatham,Public,Cheatham,TN
,Chester,Public,Chester,TN
,Claiborne,Public,Claiborne,TN
,Clarksville-Montgomery,Public,Montgomery,TN
,Clay,Public,Clay,TN
,Cleveland City,Public,Bradley,TN
,Clinton City,Public,Anderson,TN
,Cocke,Public,Cocke,TN
,Coffee,Public,Coffee,TN
,Collierville Municipal,Public,Shelby,TN
,Crockett,Public,Crockett,TN
,Cumberland,Public,Cumberland,TN
,Dayton City,Public,Rhea,TN
,Decatur,Public,Decatur,TN
,DeKalb,Public,DeKalb,TN
,Dickson,Public,Dickson,TN
,Dyer,Public,Dyer,TN
,Dyersburg City,Public,Dyer,TN
,Elizabethton City,Public,Carter,TN
,Etowah City,Public,McMinn,TN
,Fayette,Public,Fayette,TN
,Fayetteville City,Public,Lincoln,TN
,Fentress,Public,Fentress,TN
,Franklin,Public,Franklin,TN
,Franklin Special,Public,Williamson,TN
,Germantown Municipal,Public,Shelby,TN
,Gibson Special,Public,Gibson,TN
,Giles,Public,Giles,TN
,Grainger,Public,Grainger,TN
,Greene,Public,Greene,TN
,Greeneville City,Public,Greene,TN
,Grundy,Public,Grundy,TN
,Hamblen,Public,Hamblen,TN
,Hamilton,Public,Hamilton,TN
,Hancock,Public,Hancock,TN
,Hardeman,Public,Hardeman,TN
,Hardin,Public,Hardin,TN
,Hawkins,Public,Hawkins,TN
,Haywood,Public,Haywood,TN
,Henderson,Public,Henderson,TN
,Henry,Public,Henry,TN
,Hickman,Public,Hickman,TN
,Hollow Rock - Bruceton,Public,Carroll,TN
,Houston,Public,Houston,TN
,Humboldt Special,Public,Gibson,TN
,Humphreys,Public,Humphreys,TN
,Huntingdon Special,Public,Carroll,TN
,Jackson,Public,Jackson,TN
,Jackson-Madison,Public,Madison,TN
,Jefferson,Public,Jefferson,TN
,Johnson,Public,Johnson,TN
,Johnson City,Public,Washington,TN
,Kingsport City,Public,Sullivan,TN
,Knox,Public,Knox,TN
,Lake,Public,Lake,TN
,Lakeland Municipal,Public,Shelby,TN
,Lauderdale,Public,Lauderdale,TN
,Lawrence,Public,Lawrence,TN
,Lebanon Special,Public,Wilson,TN
,Lenoir City,Public,Loudon,TN
,Lewis,Public,Lewis,TN
,Lexington City,Public,Henderson,TN
,Lincoln,Public,Lincoln,TN
,Loudon,Public,Loudon,TN
,Macon,Public,Macon,TN
,Manchester City,Public,Coffee,TN
,Marion,Public,Marion,TN
,Marshall,Public,Marshall,TN
,Maryville City,Public,Blount,TN
,Maury,Public,Maury,TN
,McKenzie Special,Public,Carroll,TN
,McMinn,Public,McMinn,TN
,McNairy,Public,McNairy,TN
,Meigs,Public,Meigs,TN
,Memphis Shelby,Public,Shelby,TN
,Metro Nashville,Public,Davidson,TN
,Milan Special,Public,Gibson,TN
,Millington Municipal,Public,Shelby,TN
,Monroe,Public,Monroe,TN
,Moore,Public,Moore,TN
,Morgan,Public,Morgan,TN
,Murfreesboro City,Public,Rutherford,TN
,Newport City,Public,Cocke,TN
,Oak Ridge City,Public,Anderson,TN
,Obion,Public,Obion,TN
,Oneida Special,Public,Scott,TN
,Overton,Public,Overson,TN
,Paris Special,Public,Henry,TN
,Perry,Public,Perry,TN
,Pickett,Public,Pickett,TN
,Polk,Public,Polk,TN
,Putnam,Public,Putnam,TN
,Rhea,Public,Rhea,TN
,Richard City Special,Public,Marion,TN
,Roane,Public,Roane,TN
,Robertson,Public,Robertson,TN
,Rogersville City,Public,Hawkins,TN
,Rutherford,Public,Rutherford,TN
,Scott,Public,Scott,TN
,Sequatchie,Public,Sequatchie,TN
,Sevier,Public,Sevier,TN
,Smith,Public,Smith,TN
,South Carroll Special,Public,Carroll,TN
,Stewart,Public,Stewart,TN
,Sullivan,Public,Sullivan,TN
,Sumner,Public,Sumner,TN
,Sweetwater City,Public,Monroe,TN
,Tipton,Public,Tipton,TN
,TN School for the Blind,Public,Davidson,TN
,TN School for the Deaf,Public,Davidson,TN
,Trenton Special,Public,Gibson,TN
,Trousdale,Public,Trousdale,TN
,Tullahoma City,Public,Coffee,TN
,Unicoi,Public,Unicoi,TN
,Union City,Public,Obion,TN
,Union,Public,Union,TN
,Van Buren,Public,Van Buren,TN
,Warren,Public,Warren,TN
,Washington,Public,Washington,TN
,Wayne,Public,Wayne,TN
,Weakley,Public,Weakley,TN
,West Carroll Special,Public,Carroll,TN
,White,Public,White,TN
,Williamson,Public,Williamson,TN
,Wilson,Public,Wilson,TN
,Aurora Collegiate,Charter,NULL,TN
,Chattanooga School of Excellence,Charter,NULL,TN
,Compass,Charter,NULL,TN
,Cornerstone Prep,Charter,NULL,TN
,Emerald Academy (Knox),Charter,NULL,TN
,Frayser Community Schools,Charter,NULL,TN
,Freedom Prep,Charter,NULL,TN
,Gestalt Community Schools,Charter,NULL,TN
,Grizzlies Prep,Charter,NULL,TN
,Green Dot,Charter,NULL,TN
,Intrepid College Prep,Charter,NULL,TN
,Kipp Memphis,Charter,NULL,TN
,Kipp Nashville,Charter,NULL,TN
